edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_308771859_308772132;-1029498846;1;3;3237.18,3600.74 3233.97,3683.19 3229.66,3706.02 3226.49,3730.59 3215.79,3780.27 3208.69,3796.39 3157.18,3774.29;13.89;7484166873;highway.residential;0;origId;1029498846 800260295
1.9;tram rail_urban rail rail_electric rail_fast ship;9684614886;-1053831742;1;3;;13.89;7485282899;highway.residential;0;origId;1053831742
1.9;tram rail_urban rail rail_electric rail_fast ship;459515906;-1058823730;1;4;4202.14,3766.66 4177.78,3797.33 4122.24,3867.28 4093.62,3903.34;11.11;1698688821;highway.unclassified;0;origId;1058823730
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190048;-160346394#0;1;10;4407.31,3442.09 4422.15,3423.19 4514.64,3307.50 4584.89,3219.64 4612.57,3185.03 4665.19,3109.18 4710.02,3053.33 4738.08,3020.45 4779.95,2965.92 4783.17,2960.48 4785.18,2952.68;11.11;1614219932;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190082;-160346394#1;1;10;;11.11;2389190048;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190064;-160346394#2;1;10;;11.11;2389190082;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190069;-160346394#3;1;10;;11.11;2389190064;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190038;-160346394#5;1;10;4136.43,3787.84 4157.34,3752.75 4199.19,3712.16;11.11;459515615;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;1724275529;-160379981;1;5;;8.33;2398956407;highway.tertiary_link;0;origId;160379981
1.9;tram rail_urban rail rail_electric rail_fast ship;5279544115;-174648974#0;1;10;;22.22;308771037;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190028;-174648974#1;1;10;;22.22;5279544115;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207057;-174648974#10;1;10;3581.89,3719.71 3493.30,3716.43 3473.45,3708.32 3469.64,3705.59;22.22;7484374660;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772125;-174648974#11;1;10;;22.22;7438207057;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207045;-174648974#12;1;10;3681.13,3731.71 3661.32,3724.44 3613.69,3720.89;22.22;308772125;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207043;-174648974#13;1;10;3731.63,3754.84 3693.11,3736.09 3681.13,3731.71;22.22;7438207045;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207041;-174648974#14;2;10;;22.22;7438207043;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207041;-174648974#14;2;10;;22.22;7438207043;highway.tertiary;1;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207039;-174648974#16;1;10;3943.70,3812.79 3939.52,3808.29 3929.44,3805.91 3858.77,3803.19 3838.77,3801.67 3825.35,3798.06 3809.67,3792.82 3781.62,3779.17;22.22;7438207041;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;1698688817;-174648974#17;1;10;4069.42,3875.98 4001.54,3862.69 3963.93,3855.70 3951.65,3849.91 3947.92,3843.26 3945.49,3814.72 3943.70,3812.79;22.22;7438207039;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;9684614886;-174648974#2;1;10;;22.22;2389190028;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772136;-174648974#3;1;10;3107.73,3586.43 3084.47,3581.56 3074.34,3569.41 3069.19,3526.75 3072.60,3477.94;22.22;9684614886;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772135;-174648974#4;1;10;;22.22;308772136;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;2389189944;-174648974#5;1;10;3161.45,3597.52 3143.95,3599.36 3127.24,3594.05;22.22;308772135;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_308771859_308772132;-174648974#6;1;10;3214.43,3599.48 3177.23,3596.87 3161.45,3597.52;22.22;2389189944;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374663;-174648974#8;1;10;3367.84,3646.21 3357.80,3640.20 3306.66,3602.53 3301.07,3600.96 3288.70,3600.03 3237.18,3600.74;22.22;cluster_308771859_308772132;highway.tertiary;0;origId;174648974
